<#f0f000>:Throws:</>
Kung Fu Throw                                               		[~F/~B]^Y
Kung Fu Throw                                               		[~F/~B]^B

<#f0f000>:Special Moves:</>
Gameboy Throw                                               		_D_DF_F^X
Spickles Toss                                               		_D_DF_F^Y
NEPETA STRIKE                                               		_D_D^Z
CUT CUT Light                                                    		_D_DB_B^A
CUT CUT Strong                                                     		_D_DB_B^B
TrollBat                                                    		_D_DB_B^C
PacAdam                                                		_F_F^Z
Recharge 								^B^Y

<#f0f000>:Hyper Moves:</>
CREEPER <#bebebe>(3000)</>                                  		_D_F_D_B^Z
BassCannon <#bebebe>(2000)</>                               		_D_DF_F_D_DF_F^Y
Chex Quest ftw <#bebebe>(1000)</>                           		_D_DB_B_D_DB_B^Z_+^C
TONYBAT <#bebebe>(1000)</>                             		_D_DB_B^C_+^B
Basher <#bebebe>(1000)</>                                   		_D_DB_B^X_+^Z
Chex Quest ftw <#bebebe>(1000)</>                           		_D_DB_B_D_DB_B^Z_+^C
commander keens gun <#bebebe>(500)</>                       		_D_DF_F^Z
Dodge1 <#bebebe>(10)</>                                     		^X_+^Y_+^Z
